"O*NET Abilities","Ability-Level AI Exposure","Macro-Category"
"Arm-Hand Steadiness","-1.125","Cognitive"
"Auditory Attention","0.66","Cognitive"
"Category Flexibility","1.276","Physical"
"Control Precision","0.032","Cognitive"
"Deductive Reasoning","1.04","Cognitive"
"Depth Perception","0.067","Cognitive"
"Dynamic Flexibility","-1.452","Physical"
"Dynamic Strength","-1.582","Physical"
"Explosive Strength","-1.599","Physical"
"Extent Flexibility","-1.558","Physical"
"Far Vision","-0.197","Sensory"
"Finger Dexterity","-0.907","Physical"
"Flexibility of Closure","1.36","Physical"
"Fluency of Ideas","0.401","Cognitive"
"Glare Sensitivity","-0.287","Cognitive"
"Gross Body Coordination","-1.355","Cognitive"
"Gross Body Equilibrium","-1.417","Cognitive"
"Hearing Sensitivity","0.434","Sensory"
"Inductive Reasoning","0.964","Cognitive"
"Information Ordering","1.908","Cognitive"
"Manual Dexterity","-1.053","Physical"
"Mathematical Reasoning","0.486","Cognitive"
"Memorization","1.686","Cognitive"
"Multilimb Coordination","-1.151","Cognitive"
"Near Vision","0.15","Sensory"
"Night Vision","-0.377","Sensory"
"Number Facility","0.483","Cognitive"
"Oral Comprehension","0.7","Cognitive"
"Oral Expression","0.526","Cognitive"
"Originality","-0.144","Cognitive"
"Perceptual Speed","1.24","Cognitive"
"Peripheral Vision","-0.33","Sensory"
"Problem Sensitivity","0.538","Cognitive"
"Rate Control","-0.135","Cognitive"
"Reaction Time","0.117","Cognitive"
"Response Orientation","0.437","Cognitive"
"Selective Attention","1.151","Cognitive"
"Sound Localization","0.317","Cognitive"
"Spatial Orientation","0.375","Cognitive"
"Speech Clarity","0.568","Sensory"
"Speech Recognition","0.972","Sensory"
"Speed of Closure","1.377","Cognitive"
"Speed of Limb Movement","-1.302","Cognitive"
"Stamina","-1.514","Cognitive"
"Static Strength","-1.562","Physical"
"Time Sharing","0.67","Cognitive"
"Trunk Strength","-1.721","Physical"
"Visual Color Determination","0.415","Cognitive"
"Visualization","0.449","Cognitive"
"Wrist-Finger Speed","-1.051","Cognitive"
"Written Comprehension","0.563","Cognitive"
"Written Expression","0.458","Cognitive"
